epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,5768.21,0.51498,0.48898,1.11086,0.93389,0.94091,0.96407,0.86085,0.47909,0.37564,0.8021,0.0072775,0.0072775,0.0072775
57,5870.14,0.51823,0.49544,1.11362,0.93826,0.94232,0.96689,0.85968,0.47399,0.3796,0.7755,0.007228,0.007228,0.007228
58,5971.88,0.52292,0.49681,1.12437,0.94743,0.9253,0.96243,0.8614,0.47377,0.41389,0.80759,0.0071785,0.0071785,0.0071785
59,6073.35,0.51535,0.48491,1.11013,0.93549,0.93443,0.96388,0.86902,0.45272,0.40468,0.77014,0.007129,0.007129,0.007129
60,6176.33,0.50342,0.48408,1.10911,0.953,0.93797,0.96751,0.87143,0.44847,0.37978,0.7803,0.0070795,0.0070795,0.0070795
61,6279.38,0.50854,0.4747,1.10406,0.95066,0.93655,0.96563,0.86711,0.45694,0.42053,0.78556,0.00703,0.00703,0.00703
62,6381.49,0.50392,0.46349,1.10653,0.86539,0.91504,0.95124,0.85782,0.44624,0.43625,0.82632,0.0069805,0.0069805,0.0069805
63,6483.78,0.49404,0.46109,1.10182,0.88815,0.92164,0.96059,0.86138,0.44605,0.42045,0.81749,0.006931,0.006931,0.006931
64,6585.64,0.50222,0.46228,1.10497,0.95735,0.92464,0.96445,0.86941,0.44132,0.37086,0.76894,0.0068815,0.0068815,0.0068815
65,6688.04,0.49862,0.45747,1.09868,0.93654,0.92805,0.96667,0.87493,0.4353,0.38434,0.76259,0.006832,0.006832,0.006832
66,6790.85,0.50939,0.46337,1.10296,0.88458,0.92243,0.96157,0.86875,0.44616,0.44738,0.75618,0.0067825,0.0067825,0.0067825
67,6892.99,0.49255,0.44592,1.09515,0.95384,0.92453,0.96662,0.86829,0.4533,0.37339,0.7735,0.006733,0.006733,0.006733
68,6994.31,0.4931,0.45507,1.09835,0.89791,0.91742,0.96233,0.86753,0.44069,0.43973,0.75952,0.0066835,0.0066835,0.0066835
69,7097.03,0.48962,0.43661,1.09966,0.86291,0.9364,0.95331,0.86083,0.43949,0.47257,0.80438,0.006634,0.006634,0.006634
70,7200.51,0.49073,0.4443,1.0988,0.95257,0.92615,0.96305,0.86841,0.43414,0.38905,0.78148,0.0065845,0.0065845,0.0065845
71,7303.06,0.49428,0.4496,1.09751,0.94653,0.94461,0.97058,0.87971,0.42379,0.37715,0.77427,0.006535,0.006535,0.006535
72,7405.18,0.48559,0.44727,1.09635,0.92445,0.92794,0.96708,0.87673,0.42236,0.43404,0.79237,0.0064855,0.0064855,0.0064855
73,7507.37,0.48044,0.43316,1.0914,0.89177,0.9118,0.95293,0.86268,0.44545,0.4888,0.7534,0.006436,0.006436,0.006436
74,7609.29,0.48059,0.43324,1.08574,0.92802,0.92118,0.96916,0.88098,inf,0.47193,0.76917,0.0063865,0.0063865,0.0063865
75,7711.92,0.48172,0.43613,1.09185,0.9595,0.94525,0.9744,0.88062,0.43454,0.41051,0.78938,0.006337,0.006337,0.006337
76,7814.52,0.47127,0.42873,1.08458,0.94941,0.95213,0.97389,0.88544,0.43078,0.43737,0.75959,0.0062875,0.0062875,0.0062875
77,7918,0.47451,0.42206,1.08492,0.9319,0.93309,0.96575,0.87707,0.43861,0.48315,0.80194,0.006238,0.006238,0.006238
78,8020.31,0.46943,0.41066,1.08189,0.92336,0.9167,0.96987,0.88094,0.44691,0.47875,0.80812,0.0061885,0.0061885,0.0061885
